Reference PDB,ESMF PDB,scTM Value,RMSD Value
1xcc.pdb,1xcc.pdb,0.9733166016983532,0.75677615
2jua.pdb,2jua.pdb,0.8050516788398056,2.383319
4kpn.pdb,4kpn.pdb,0.9769952172313899,0.7183999
4agh.pdb,4agh.pdb,0.9095314600635753,0.90282977
2es7.pdb,2es7.pdb,0.5727696377283157,11.979181
4lmi.pdb,4lmi.pdb,0.8102342848243337,6.223874
2kxg.pdb,2kxg.pdb,0.6774152119836971,3.556391
5ko4.pdb,5ko4.pdb,0.95500604186254,0.73989224
1n8j.pdb,1n8j.pdb,0.9802036622523125,0.60719734
3g80.pdb,3g80.pdb,0.9512429103281317,0.6158646
1ni8.pdb,1ni8.pdb,0.6372216169535115,3.5364878
4i4k.pdb,4i4k.pdb,0.910249032294594,2.3198678
1k7k.pdb,1k7k.pdb,0.9229630920526106,1.3982158
2kuc.pdb,2kuc.pdb,0.7916086179436284,2.3813014
3lwa.pdb,3lwa.pdb,0.8558456854742947,2.866183
3oul.pdb,3oul.pdb,0.9807217467653487,0.6478721
1dzu.pdb,1dzu.pdb,0.9785932335602152,0.6575508
3dm8.pdb,3dm8.pdb,0.9252811360668342,1.1363755
2m7o.pdb,2m7o.pdb,0.5724677957434147,4.6436286
2php.pdb,2php.pdb,0.9897135380468064,0.40276185
1c3k.pdb,1c3k.pdb,0.9650857104643794,0.6858854
2ch7.pdb,2ch7.pdb,0.6047247047138061,5.9011
3ksp.pdb,3ksp.pdb,0.9310219416444288,1.1896713
3lw6.pdb,3lw6.pdb,0.9468497666951269,1.1404186
1b77.pdb,1b77.pdb,0.9270709544685426,1.5655582
3ktz.pdb,3ktz.pdb,0.9310337631873877,1.6961995
1g2r.pdb,1g2r.pdb,0.9461229154673407,0.7904769
2v1l.pdb,2v1l.pdb,0.9206471691276169,1.3830733
2lfr.pdb,2lfr.pdb,0.6997750529284916,4.26611
2lqv.pdb,2lqv.pdb,0.42852827708082947,11.029297
3b8l.pdb,3b8l.pdb,0.9757887531596602,0.6417965
2lrt.pdb,2lrt.pdb,0.7539917788032277,5.2268076
2pa4.pdb,2pa4.pdb,0.9602671725690631,1.1120493
2l4v.pdb,2l4v.pdb,0.5136149061682851,13.671001
2x65.pdb,2x65.pdb,0.9361614567733881,1.7082238
2cu2.pdb,2cu2.pdb,0.9006196175615762,2.0973012
2l2f.pdb,2l2f.pdb,0.8419204001419884,1.6686523
4lab.pdb,4lab.pdb,0.952886223711839,0.9657825
3n8b.pdb,3n8b.pdb,0.885239057882414,1.1314553
2lwy.pdb,2lwy.pdb,0.9668672216409128,0.73138523
4o1s.pdb,4o1s.pdb,0.9638386553536635,0.7778205
4y4q.pdb,4y4q.pdb,0.930999944870575,1.1876428
1ttz.pdb,1ttz.pdb,0.9686271182254289,0.47225052
3dc4.pdb,3dc4.pdb,0.9510355600062197,1.0851132
2mbt.pdb,2mbt.pdb,0.8792471000079402,1.7952982
4z7x.pdb,4z7x.pdb,0.9429528719318435,1.4218811
3lgc.pdb,3lgc.pdb,0.7996042951325826,2.3235433
1mhm.pdb,1mhm.pdb,0.5147575528381698,4.3945513
2ope.pdb,2ope.pdb,0.5895732804862167,5.689218
1fzr.pdb,1fzr.pdb,0.7877773283368564,3.2153945
2yzh.pdb,2yzh.pdb,0.9476030865049082,1.2032608
2rji.pdb,2rji.pdb,0.8907363491171572,1.1048052
3gkm.pdb,3gkm.pdb,0.9814949663707733,0.5295481
2lv3.pdb,2lv3.pdb,0.8130335740525543,1.870353
3gnj.pdb,3gnj.pdb,0.9782820385135699,0.45790714
1at0.pdb,1at0.pdb,0.9845827572960386,0.44391447
3pcr.pdb,3pcr.pdb,0.4053778347626654,15.826046
1uyj.pdb,1uyj.pdb,0.7327158589112134,4.2607727
1cyu.pdb,1cyu.pdb,0.3836318986139901,10.483999
4kz1.pdb,4kz1.pdb,0.9733717323568002,0.55819637
1qw2.pdb,1qw2.pdb,0.35961016652661254,8.949262
1m2a.pdb,1m2a.pdb,0.9726613971776426,0.5195634
4jd0.pdb,4jd0.pdb,0.9763591843248355,0.69142437
3q2e.pdb,3q2e.pdb,0.9813200105285047,0.46415526
2yqd.pdb,2yqd.pdb,0.8004751215167024,5.615506
4evw.pdb,4evw.pdb,0.9613401213091364,0.92044604
4gym.pdb,4gym.pdb,0.9156223205455701,1.4639608
3a76.pdb,3a76.pdb,0.9723297402566924,0.61457783
2yua.pdb,2yua.pdb,0.3736613401938436,12.555023
2icg.pdb,2icg.pdb,0.9483839829349399,0.88639235
3soy.pdb,3soy.pdb,0.9182943588602134,2.70051
3ijm.pdb,3ijm.pdb,0.8550720000689129,1.9472482
2ctq.pdb,2ctq.pdb,0.6268310150093568,12.038111
3emx.pdb,3emx.pdb,0.9703338842118815,0.6596774
3zf8.pdb,3zf8.pdb,0.8152270274383222,5.2696285
1dml.pdb,1dml.pdb,0.7347654182716361,4.5877223
3gv1.pdb,3gv1.pdb,0.969282581251631,0.66035056
2znm.pdb,2znm.pdb,0.8933300207292973,1.7040191
2ehz.pdb,2ehz.pdb,0.9302593723074767,1.7034237
5j7d.pdb,5j7d.pdb,0.9408991993729935,0.83018845
1fuw.pdb,1fuw.pdb,0.4969834326461374,8.127924
1wp0.pdb,1wp0.pdb,0.9602785307622277,0.811726
3bb9.pdb,3bb9.pdb,0.9509055585628623,0.8503493
3oa4.pdb,3oa4.pdb,0.9661018419351147,0.72341144
3d5p.pdb,3d5p.pdb,0.9366777223674485,1.582122
2ahy.pdb,2ahy.pdb,0.7701026281886494,6.8812184
1ezj.pdb,1ezj.pdb,0.5436501220583562,7.2771406
2ia7.pdb,2ia7.pdb,0.9014641946179413,1.2849523
3nxb.pdb,3nxb.pdb,0.9705907046185487,0.5550145
1bf0.pdb,1bf0.pdb,0.8034607427616965,1.2876878
2ayt.pdb,2ayt.pdb,0.9869276327717167,0.5664937
4mym.pdb,4mym.pdb,0.8075257403507775,2.5513823
3ct8.pdb,3ct8.pdb,0.9216186493126092,1.136261
1cq3.pdb,1cq3.pdb,0.5500433201055546,8.014319
5cq8.pdb,5cq8.pdb,0.9110797725798748,1.548869
1x0j.pdb,1x0j.pdb,0.9557242292909134,0.7378118
2gux.pdb,2gux.pdb,0.8344428629628916,6.1159883
3gl5.pdb,3gl5.pdb,0.89427596490285,7.3260937
1u14.pdb,1u14.pdb,0.9799150441413879,0.5341429
1wa8.pdb,1wa8.pdb,0.5104568128795444,12.655455
1y6x.pdb,1y6x.pdb,0.9424547060383582,0.75595087
1mkn.pdb,1mkn.pdb,0.27330869374184136,7.9927726
1v57.pdb,1v57.pdb,0.8169929554376508,2.9109623
1gyz.pdb,1gyz.pdb,0.6513174326500171,2.4073703
1b65.pdb,1b65.pdb,0.9680811205696706,0.94867563
2hep.pdb,2hep.pdb,0.6078866481658909,2.3349063
