Reference PDB,ESMF PDB,error
1ugi.pdb,1ugi.pdb,
4o32.pdb,4o32.pdb,
1knv.pdb,1knv.pdb,
3dvo.pdb,3dvo.pdb,invalid axis: 1 (ndim = 1)
2bmx.pdb,2bmx.pdb,
1fxk.pdb,1fxk.pdb,
5kol.pdb,5kol.pdb,
4bg7.pdb,4bg7.pdb,
4iqj.pdb,4iqj.pdb,invalid axis: 1 (ndim = 1)
1f3h.pdb,1f3h.pdb,
3d6i.pdb,3d6i.pdb,
3drn.pdb,3drn.pdb,
4bd9.pdb,4bd9.pdb,
2h8p.pdb,2h8p.pdb,
1kvd.pdb,1kvd.pdb,
4mt8.pdb,4mt8.pdb,
1s0w.pdb,1s0w.pdb,
4jgs.pdb,4jgs.pdb,
3k5e.pdb,3k5e.pdb,
1wte.pdb,1wte.pdb,invalid axis: 1 (ndim = 1)
1obb.pdb,1obb.pdb,
2e3d.pdb,2e3d.pdb,
1rfy.pdb,1rfy.pdb,
3cyn.pdb,3cyn.pdb,
3aqg.pdb,3aqg.pdb,
2chc.pdb,2chc.pdb,
1bcc.pdb,1bcc.pdb,
4per.pdb,4per.pdb,
2w8x.pdb,2w8x.pdb,
4bw5.pdb,4bw5.pdb,
4n6m.pdb,4n6m.pdb,
2f93.pdb,2f93.pdb,
1xxm.pdb,1xxm.pdb,
4fm4.pdb,4fm4.pdb,
2q0o.pdb,2q0o.pdb,
4hkj.pdb,4hkj.pdb,
4cgs.pdb,4cgs.pdb,
1b6q.pdb,1b6q.pdb,
2az0.pdb,2az0.pdb,invalid axis: 1 (ndim = 1)
1sb7.pdb,1sb7.pdb,
4hr6.pdb,4hr6.pdb,
1b35.pdb,1b35.pdb,
2a9s.pdb,2a9s.pdb,
1jb0.pdb,1jb0.pdb,
4jrr.pdb,4jrr.pdb,
2zdi.pdb,2zdi.pdb,
3cdd.pdb,3cdd.pdb,
2rem.pdb,2rem.pdb,
4gxz.pdb,4gxz.pdb,
4hpq.pdb,4hpq.pdb,
4l8o.pdb,4l8o.pdb,
3txs.pdb,3txs.pdb,
2bmo.pdb,2bmo.pdb,
2bsk.pdb,2bsk.pdb,
1sp8.pdb,1sp8.pdb,
2qh5.pdb,2qh5.pdb,
2wzp.pdb,2wzp.pdb,
4a5p.pdb,4a5p.pdb,
1xvw.pdb,1xvw.pdb,
1y1f.pdb,1y1f.pdb,
5i97.pdb,5i97.pdb,
2y3c.pdb,2y3c.pdb,
2pu9.pdb,2pu9.pdb,
1sji.pdb,1sji.pdb,
1xiy.pdb,1xiy.pdb,
3cjh.pdb,3cjh.pdb,
4fyb.pdb,4fyb.pdb,
3ia1.pdb,3ia1.pdb,
1bha.pdb,1bha.pdb,
5k29.pdb,5k29.pdb,
1mab.pdb,1mab.pdb,
3kgk.pdb,3kgk.pdb,
1toc.pdb,1toc.pdb,
1zl8.pdb,1zl8.pdb,
3g12.pdb,3g12.pdb,
3iu6.pdb,3iu6.pdb,
1vq8.pdb,1vq8.pdb,invalid axis: 1 (ndim = 1)
1s4n.pdb,1s4n.pdb,
1kyo.pdb,1kyo.pdb,
4k90.pdb,4k90.pdb,
2gb7.pdb,2gb7.pdb,invalid axis: 1 (ndim = 1)
2xme.pdb,2xme.pdb,
3mvg.pdb,3mvg.pdb,
3b2e.pdb,3b2e.pdb,
4kt3.pdb,4kt3.pdb,
1vf6.pdb,1vf6.pdb,
4yfk.pdb,4yfk.pdb,
1nvp.pdb,1nvp.pdb,invalid axis: 1 (ndim = 1)
3cob.pdb,3cob.pdb,
3iuz.pdb,3iuz.pdb,
1fw3.pdb,1fw3.pdb,
1ynj.pdb,1ynj.pdb,
2a79.pdb,2a79.pdb,
3ed3.pdb,3ed3.pdb,
1vrs.pdb,1vrs.pdb,
1g6u.pdb,1g6u.pdb,
3ifv.pdb,3ifv.pdb,
1i3o.pdb,1i3o.pdb,
4py6.pdb,4py6.pdb,
2wvl.pdb,2wvl.pdb,
1fx3.pdb,1fx3.pdb,
3s3u.pdb,3s3u.pdb,
1yc0.pdb,1yc0.pdb,
1zkr.pdb,1zkr.pdb,
3fav.pdb,3fav.pdb,
4jhc.pdb,4jhc.pdb,
2zih.pdb,2zih.pdb,
2q5z.pdb,2q5z.pdb,
3j7y.pdb,3j7y.pdb,invalid axis: 1 (ndim = 1)
2drh.pdb,2drh.pdb,
3jcu.pdb,3jcu.pdb,
4i0x.pdb,4i0x.pdb,
2qwo.pdb,2qwo.pdb,
1r5p.pdb,1r5p.pdb,
1rp3.pdb,1rp3.pdb,
3ke7.pdb,3ke7.pdb,
1z5y.pdb,1z5y.pdb,
1kic.pdb,1kic.pdb,
1rso.pdb,1rso.pdb,
1rtu.pdb,1rtu.pdb,
3fn5.pdb,3fn5.pdb,
1s5h.pdb,1s5h.pdb,
1h3m.pdb,1h3m.pdb,
2o0a.pdb,2o0a.pdb,
1d2i.pdb,1d2i.pdb,invalid axis: 1 (ndim = 1)
1prx.pdb,1prx.pdb,
3wod.pdb,3wod.pdb,
4hz9.pdb,4hz9.pdb,
2imz.pdb,2imz.pdb,
4cit.pdb,4cit.pdb,
1st9.pdb,1st9.pdb,
4k1p.pdb,4k1p.pdb,
3axg.pdb,3axg.pdb,
1a90.pdb,1a90.pdb,
2b1x.pdb,2b1x.pdb,
1of5.pdb,1of5.pdb,
3cra.pdb,3cra.pdb,
2p0x.pdb,2p0x.pdb,
5cxo.pdb,5cxo.pdb,
2xgl.pdb,2xgl.pdb,
1q90.pdb,1q90.pdb,
2pqg.pdb,2pqg.pdb,
4gkp.pdb,4gkp.pdb,
1wp7.pdb,1wp7.pdb,
1jkg.pdb,1jkg.pdb,
3k44.pdb,3k44.pdb,
1qwj.pdb,1qwj.pdb,
2gia.pdb,2gia.pdb,
2waw.pdb,2waw.pdb,
3eb8.pdb,3eb8.pdb,
2y6p.pdb,2y6p.pdb,
2car.pdb,2car.pdb,
4cw9.pdb,4cw9.pdb,
2r5v.pdb,2r5v.pdb,
1puo.pdb,1puo.pdb,
1omz.pdb,1omz.pdb,
2b7j.pdb,2b7j.pdb,
4f0d.pdb,4f0d.pdb,
2d8d.pdb,2d8d.pdb,
1dza.pdb,1dza.pdb,
3q90.pdb,3q90.pdb,
3vto.pdb,3vto.pdb,
2l35.pdb,2l35.pdb,
1ezv.pdb,1ezv.pdb,
1cxz.pdb,1cxz.pdb,
2o01.pdb,2o01.pdb,
3bam.pdb,3bam.pdb,invalid axis: 1 (ndim = 1)
4nwy.pdb,4nwy.pdb,
4fr9.pdb,4fr9.pdb,
2i82.pdb,2i82.pdb,invalid axis: 1 (ndim = 1)
4oo0.pdb,4oo0.pdb,
1lln.pdb,1lln.pdb,
4ntw.pdb,4ntw.pdb,
3j7a.pdb,3j7a.pdb,invalid axis: 1 (ndim = 1)
5c8g.pdb,5c8g.pdb,
2q8v.pdb,2q8v.pdb,
3q6o.pdb,3q6o.pdb,
3um7.pdb,3um7.pdb,
2c40.pdb,2c40.pdb,
4n21.pdb,4n21.pdb,
3bm3.pdb,3bm3.pdb,invalid axis: 1 (ndim = 1)
1a73.pdb,1a73.pdb,invalid axis: 1 (ndim = 1)
5flm.pdb,5flm.pdb,
1ll0.pdb,1ll0.pdb,
