Reference PDB,ESMF PDB,scTM Value,RMSD Value
1xcc.pdb,1xcc.pdb,0.9782386610985173,0.711377
2jua.pdb,2jua.pdb,0.7654211052891259,2.1744137
4kpn.pdb,4kpn.pdb,0.981508815719886,0.68535775
4agh.pdb,4agh.pdb,0.8858244688978291,1.1070182
2es7.pdb,2es7.pdb,0.8944441791299632,1.3462377
4lmi.pdb,4lmi.pdb,0.7936775038927172,9.109435
2kxg.pdb,2kxg.pdb,0.6884079550078747,4.3431816
5ko4.pdb,5ko4.pdb,0.943627243637047,0.73892844
1n8j.pdb,1n8j.pdb,0.9570546595265222,0.9914451
3g80.pdb,3g80.pdb,0.5414785339103881,5.1271367
1ni8.pdb,1ni8.pdb,0.7887148081956588,1.1548538
4i4k.pdb,4i4k.pdb,0.9505947810653481,0.8587959
1k7k.pdb,1k7k.pdb,0.9017891874626909,2.3456306
2kuc.pdb,2kuc.pdb,0.8270892279566593,2.0143166
3lwa.pdb,3lwa.pdb,0.9515979642461064,0.8320028
3oul.pdb,3oul.pdb,0.9870122357774245,0.5096776
1dzu.pdb,1dzu.pdb,0.9805236974681727,0.66595405
3dm8.pdb,3dm8.pdb,0.9463976109704179,0.9220552
2m7o.pdb,2m7o.pdb,0.6996572164744034,2.3319974
2php.pdb,2php.pdb,0.9747486301650907,0.6003058
1c3k.pdb,1c3k.pdb,0.964470916622257,0.6987273
2ch7.pdb,2ch7.pdb,0.6432748828447018,5.1786914
3ksp.pdb,3ksp.pdb,0.9199628493064358,1.3460393
3lw6.pdb,3lw6.pdb,0.9542303607776211,0.9603848
1b77.pdb,1b77.pdb,0.9337512319924318,1.3328494
3ktz.pdb,3ktz.pdb,0.9658817289205868,0.9212447
1g2r.pdb,1g2r.pdb,0.9634078495732749,0.57295585
2v1l.pdb,2v1l.pdb,0.9615616638950011,0.73557526
2lfr.pdb,2lfr.pdb,0.6236007996406401,15.033027
2lqv.pdb,2lqv.pdb,0.3421531962033493,12.013104
3b8l.pdb,3b8l.pdb,0.9807656653223,0.5499945
2lrt.pdb,2lrt.pdb,0.7979526361069172,3.1656466
2pa4.pdb,2pa4.pdb,0.9375272256709315,1.6295398
2l4v.pdb,2l4v.pdb,0.5916108854029746,9.456561
2x65.pdb,2x65.pdb,0.9091783041986916,2.164104
2cu2.pdb,2cu2.pdb,0.9595601513060125,1.2079884
2l2f.pdb,2l2f.pdb,0.87975684760722,1.3533442
4lab.pdb,4lab.pdb,0.9435142957138263,1.1346612
3n8b.pdb,3n8b.pdb,0.8525846311107252,1.3374234
2lwy.pdb,2lwy.pdb,0.9711381396255097,0.65472746
4o1s.pdb,4o1s.pdb,0.9677937262736608,0.66525966
4y4q.pdb,4y4q.pdb,0.9281067740402109,1.1567423
1ttz.pdb,1ttz.pdb,0.9657377445398061,0.5287771
3dc4.pdb,3dc4.pdb,0.9626255953114264,0.9186129
2mbt.pdb,2mbt.pdb,0.8642704154096216,2.0316362
4z7x.pdb,4z7x.pdb,0.9143346284524115,1.9738514
3lgc.pdb,3lgc.pdb,0.922603087946164,0.9009409
1mhm.pdb,1mhm.pdb,0.6355834402915848,5.0237803
2ope.pdb,2ope.pdb,0.7504529540332133,3.918159
1fzr.pdb,1fzr.pdb,0.7788409409801221,4.0694127
